jd_id,title,role_category,source,url,char_count,file
jd_064,Java Backend Developer,backend,Adzuna,https://www.adzuna.com/land/ad/5629126066?se=Ml8SrIsY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=85B2332EF75B7738C5061AA41C5CBE7EE75E8E27,499,jd_064_backend.txt
jd_065,Backend Developer,backend,Adzuna,https://www.adzuna.com/land/ad/5643224948?se=Ml8SrIsY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=DBFEB8AB3F2B2B87D1653DAC6B5456B4C122853F,498,jd_065_backend.txt
jd_066,Backend Developer with Security Clearance,backend,Adzuna,https://www.adzuna.com/land/ad/5553151713?se=Ml8SrIsY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=00365A0C2DA6035FBC778E6CB816DD6FAB27E020,499,jd_066_backend.txt
jd_067,Data Analyst III,data,Adzuna,https://www.adzuna.com/land/ad/5653775466?se=ii3Qs4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=171297224A54B51153CE8E7193EE4B8B2832B511,498,jd_067_data.txt
jd_068,Material Master Data Analyst,data,Adzuna,https://www.adzuna.com/land/ad/5650075090?se=ii3Qs4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=FBCF18B5BE053C81BBBB9374EEE10D63BC81C1DA,499,jd_068_data.txt
jd_069,Data Analyst,data,Adzuna,https://www.adzuna.com/land/ad/5644311277?se=ii3Qs4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=860A7722574B712E9D5F63179E46C7AD9D3828E3,498,jd_069_data.txt
jd_070,Data Analyst,data,Adzuna,https://www.adzuna.com/land/ad/5643781940?se=ii3Qs4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=7334BF2F5F068AD9C2ED392C38FD3A7E669BFE0C,498,jd_070_data.txt
jd_071,Data Analyst,data,Adzuna,https://www.adzuna.com/land/ad/5643225150?se=ii3Qs4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=D565E5DB0B0B978B8F235D69E01C869B32AFDABF,342,jd_071_data.txt
jd_072,Machine Learning Engineer,ml,Adzuna,https://www.adzuna.com/land/ad/5643257693?se=8ouiu4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=C6A050F99DAEB88B53B3BA03B13749E2DE2863D3,499,jd_072_ml.txt
jd_073,Senior Machine Learning Engineer,ml,Adzuna,https://www.adzuna.com/land/ad/5582286503?se=8ouiu4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=9A9F8565370E80B64E948A047E11A7A08C96ADFE,498,jd_073_ml.txt
